
                        AOS MEMORY MAP                            
|=================================================================|
| MODULE                                   | ROM       | RAM      |
|=================================================================|
| activation                               | 1091      | 0        |
| arch_xtensa_lx6                          | 3400      | 2088     |
| board_esp32devkitc                       | 306       | 0        |
| cjson                                    | 2125      | 20       |
| cli                                      | 6227      | 353      |
| kernel_init                              | 690       | 36       |
| kv                                       | 3580      | 36       |
| libapp_update                            | 1926      | 72       |
| libbootloader_support                    | 5185      | 4        |
| libc                                     | 77475     | 0        |
| libcoexist                               | 3716      | 1471     |
| libcontainer                             | 2654      | 0        |
| libcore                                  | 1213      | 5        |
| libdriver                                | 10164     | 121      |
| libesp32                                 | 31546     | 4420     |
| libgcc                                   | 5504      | 0        |
| libhal                                   | 547       | 0        |
| libiot_awss                              | 31353     | 1962     |
| libiot_certs                             | 1281      | 4        |
| libiot_coap                              | 17994     | 36       |
| libiot_devmodel                          | 23304     | 196      |
| libiot_infra                             | 17196     | 448      |
| libiot_mqtt                              | 15959     | 408      |
| libiot_sign                              | 1392      | 64       |
| libiot_wrappers                          | 8427      | 240      |
| liblog                                   | 869       | 276      |
| libm                                     | 104       | 0        |
| libmesh                                  | 55        | 2        |
| libnet80211                              | 125086    | 9366     |
| libnewlib                                | 1603      | 424      |
| libnvs_flash                             | 11804     | 32       |
| libphy                                   | 34797     | 2194     |
| libpp                                    | 62916     | 6510     |
| librtc                                   | 879       | 4        |
| libsoc                                   | 7030      | 8        |
| libspi_flash                             | 6324      | 349      |
| libstdcc\+\+-cache-workaround            | 96        | 4        |
| libvfs                                   | 3600      | 335      |
| libwpa                                   | 23293     | 682      |
| libwpa2                                  | 0         | 1        |
| libwpa_supplicant                        | 15210     | 0        |
| libwps                                   | 0         | 1        |
| linkapp                                  | 5518      | 54       |
| lwip                                     | 45630     | 3303     |
| mbedtls                                  | 68462     | 8832     |
| mcu_esp32                                | 11601     | 651      |
| netmgr                                   | 3112      | 510      |
| osal_aos                                 | 1621      | 0        |
| rhino                                    | 13713     | 9976     |
| ulog                                     | 784       | 51       |
| vfs                                      | 973       | 1113     |
| yloop                                    | 2356      | 32       |
| *fill*                                   | 5397      | 266      |
|=================================================================|
| TOTAL (bytes)                            | 727088    | 56960    |
|=================================================================|
